modify_trim_muscle_atpF	-1140.002730	34	1.00000	-1140.002731	35	2.57198	BEB:	NEB:	9.989e-01
modify_trim_muscle_ndhC	-656.747851	34	1.00000	-656.747851	35	2.62028	BEB:	NEB:	1.000e+00
modify_trim_muscle_atpI	-1396.934079	34	1.00000	-1396.934086	35	2.57506	BEB:	NEB:	9.970e-01
modify_trim_muscle_rpl20	-830.294119	34	1.00000	-830.294119	35	2.57218	BEB:	NEB:	1.000e+00
modify_trim_muscle_psbC	-2381.335798	34	1.00000	-2381.335799	35	2.57167	BEB:	NEB:	9.989e-01
modify_trim_muscle_rps16	-404.852431	34	1.00000	-404.581875	35	93.62137	BEB:69,Y,0.947;	NEB:	4.620e-01
modify_trim_muscle_rps8	-916.161130	34	1.00000	-916.161125	35	2.57314	BEB:	NEB:	9.975e-01
modify_trim_muscle_psbI	-175.666880	34	1.00000	-175.666880	35	2.57439	BEB:	NEB:	1.000e+00
modify_trim_muscle_atpB	-2842.991866	34	1.00000	-2842.991884	35	2.57242	BEB:	NEB:	9.952e-01
modify_trim_muscle_cemA	-1642.759580	34	1.00000	-1642.759586	35	2.57223	BEB:	NEB:	9.972e-01
modify_trim_muscle_ndhG	-1096.571481	34	1.00000	-1096.571484	35	2.57317	BEB:	NEB:	9.980e-01
modify_trim_muscle_rpl14	-640.900652	34	1.00000	-640.900653	35	2.57300	BEB:	NEB:	9.989e-01
modify_trim_muscle_rpl33	-386.542559	34	1.00000	-386.542557	35	2.57289	BEB:	NEB:	9.984e-01
modify_trim_muscle_rps4	-1052.693489	34	1.00000	-1052.693489	35	2.57170	BEB:	NEB:	1.000e+00
modify_trim_muscle_ndhK	-1387.150717	34	1.00000	-1387.150703	35	1.00000	BEB:	NEB:	9.958e-01
modify_trim_muscle_rps18	-558.916213	34	1.00000	-558.916213	35	1.00000	BEB:	NEB:	1.000e+00
modify_trim_muscle_psbT	-139.947260	34	1.00000	-139.938193	35	2.57247	BEB:	NEB:	8.929e-01
modify_trim_muscle_petN	-122.658011	34	1.00000	-122.657986	35	3.36377	BEB:	NEB:	9.944e-01
modify_trim_muscle_psaI	-190.425839	34	1.00000	-190.425844	35	2.19910	BEB:	NEB:	9.975e-01
modify_trim_muscle_psaB	-3665.358960	34	1.00000	-3665.358960	35	1.00000	BEB:	NEB:	1.000e+00
modify_trim_muscle_petG	-170.463443	34	1.00000	-170.463012	35	2.57454	BEB:	NEB:	9.766e-01
modify_trim_muscle_atpE	-756.393727	34	1.00000	-756.393726	35	2.57319	BEB:	NEB:	9.989e-01
modify_trim_muscle_psbE	-378.570514	34	1.00000	-378.570514	35	1.00000	BEB:	NEB:	1.000e+00
modify_trim_muscle_rbcL	-2734.678678	34	1.00000	-2734.592878	35	4.28708	BEB:449,T,0.728;	NEB:	6.787e-01
modify_trim_muscle_psbD	-1806.431807	34	1.00000	-1806.431829	35	2.57305	BEB:	NEB:	9.947e-01
modify_trim_muscle_ndhA	-2196.257856	34	1.00000	-2196.257856	35	1.00000	BEB:	NEB:	1.000e+00
modify_trim_muscle_ndhE	-596.535122	34	1.00000	-596.535150	35	2.57332	BEB:	NEB:	9.940e-01
modify_trim_muscle_ndhH	-2434.633704	34	1.00000	-2434.633704	35	1.00000	BEB:	NEB:	1.000e+00
modify_trim_muscle_rpl16	-778.331209	34	1.00000	-778.331208	35	1.00000	BEB:	NEB:	9.989e-01
modify_trim_muscle_petA	-1941.107790	34	1.00000	-1941.107790	35	1.00000	BEB:	NEB:	1.000e+00
modify_trim_muscle_psbJ	-169.436234	34	1.00000	-169.436212	35	2.55581	BEB:	NEB:	9.947e-01
modify_trim_muscle_psbH	-395.136752	34	1.00000	-395.136751	35	1.98474	BEB:	NEB:	9.989e-01
modify_trim_muscle_psbK	-361.016808	34	1.00000	-361.016812	35	2.57174	BEB:	NEB:	9.977e-01
modify_trim_muscle_psaJ	-199.516227	34	1.00000	-199.516227	35	2.56997	BEB:	NEB:	1.000e+00
modify_trim_muscle_atpA	-2805.277810	34	1.00000	-2805.277829	35	2.57106	BEB:	NEB:	9.951e-01
modify_trim_muscle_rps11	-765.374517	34	1.00000	-765.374519	35	2.57356	BEB:	NEB:	9.984e-01
modify_trim_muscle_ndhJ	-897.706662	34	1.00000	-897.706670	35	2.56624	BEB:	NEB:	9.968e-01
modify_trim_muscle_ndhD	-3145.297355	34	1.00000	-3145.297358	35	1.00000	BEB:	NEB:	9.980e-01
modify_trim_muscle_rpl36	-156.939325	34	1.00000	-156.939325	35	2.57001	BEB:	NEB:	1.000e+00
modify_trim_muscle_petB	-1185.838845	34	1.00000	-1185.838857	35	2.57264	BEB:	NEB:	9.961e-01
modify_trim_muscle_rpoC1	-4022.225270	34	1.00000	-4022.225282	35	2.57294	BEB:	NEB:	9.961e-01
modify_trim_muscle_psbB	-2832.979317	34	1.00000	-2832.979322	35	1.00000	BEB:	NEB:	9.975e-01
modify_trim_muscle_ycf4	-984.217387	34	1.00000	-984.217394	35	2.56934	BEB:	NEB:	9.970e-01
modify_trim_muscle_atpH	-348.704651	34	1.00000	-348.704651	35	2.42901	BEB:	NEB:	1.000e+00
modify_trim_muscle_psbN	-198.368594	34	1.00000	-198.368594	35	2.56339	BEB:	NEB:	1.000e+00
modify_trim_muscle_psbF	-160.493931	34	1.00000	-160.493931	35	2.55006	BEB:	NEB:	1.000e+00
modify_trim_muscle_clpP	-1039.258294	34	1.00000	-1039.258294	35	2.57695	BEB:	NEB:	1.000e+00
modify_trim_muscle_rpl32	-328.337573	34	1.00000	-328.128827	35	51.41571	BEB:10,I,0.969;	NEB:	5.182e-01
modify_trim_muscle_rps14	-587.411430	34	1.00000	-587.411432	35	2.57465	BEB:	NEB:	9.984e-01
modify_trim_muscle_psbM	-174.215922	34	1.00000	-174.215920	35	1.00000	BEB:	NEB:	9.984e-01
modify_trim_muscle_petL	-157.725413	34	1.00000	-157.725406	35	6.40366	BEB:	NEB:	9.970e-01
modify_trim_muscle_ycf3	-897.889430	34	1.00000	-897.889430	35	1.00000	BEB:	NEB:	1.000e+00
modify_trim_muscle_psaA	-3736.993519	34	1.00000	-3736.993531	35	1.00000	BEB:	NEB:	9.961e-01
modify_trim_muscle_psaC	-393.466495	34	1.00000	-393.466495	35	2.56726	BEB:	NEB:	1.000e+00
modify_trim_muscle_psbL	-174.216768	34	1.00000	-174.216763	35	36.18978	BEB:	NEB:	9.975e-01
